	hCiPSCs_2_corr	hCiPSCs_2_pval	hCiPSCs_2_qval	hCiPSCs_2_ci_low	hCiPSCs_2_ci_high
HIST1H1D	0.29238555167794283	9.105301770053104e-160	1.8001181599394984e-156	0.2722160402396654	0.3122982468417839
HIST1H1A	0.2787694252389807	1.278825907646538e-144	1.2641194097086028e-141	0.2584345006971086	0.2988574118877724
HIST1H4C	0.27123593673016094	1.2853712908718369e-136	8.470596806845404e-134	0.25081304799470766	0.29141748191307437
SCGB3A2	0.25281886413770466	3.7056379107925356e-118	1.8315115374092106e-115	0.2321915844745673	0.27321884507199157
MCM5	0.24001684872621667	3.18195818509973e-106	1.2581462663884333e-103	0.21925639570208164	0.26056005899007706
MCM4	0.2393184444618769	1.3583234288186228e-105	4.475675697957362e-103	0.21855093613425391	0.25986926525247905
NLRP2	0.23556055246964938	3.0766802953636074e-102	8.689424205619788e-100	0.21475545439299099	0.256151961983134
TDGF1	0.23434995554989865	3.596521828738134e-101	8.887904569269113e-99	0.21353288182823815	0.25495431091687776
HSPD1	0.2340587737121566	6.482966535790811e-101	1.4240916490287148e-98	0.21323882924599907	0.2546662334809839
SCG3	0.23220919461154813	2.68321236551414e-99	5.304710846621454e-97	0.2113711033254426	0.2528362880487
RP11-267L5.1	0.23207073729543773	3.5407934955233467e-99	6.363771582408779e-97	0.21123129368196547	0.2526992945482192
RP11-426L16.8	0.2286973155292608	2.87257170335137e-96	4.7325618812713825e-94	0.2078251868140975	0.24936128210385075
HSP90AB1	0.22816354737756334	8.205788079779484e-96	1.247911002594157e-93	0.20728629335626245	0.24883307168424934
L1TD1	0.22472815151386857	6.591489165275926e-93	9.308124342678933e-91	0.20381821357657912	0.24543315180437428
HNRNPC	0.2231420760099263	1.3906426734695376e-91	1.8328670436328506e-89	0.20221722540969675	0.24386328319212192
HIST1H2AJ	0.22277020914927365	2.832376779893699e-91	3.4997555586561516e-89	0.20184187835170636	0.2434952004388614
MYBL2	0.21960439009128144	1.14444514923456e-88	1.330922388256897e-86	0.19864668020438883	0.24036135490733995
NLGN4X	0.21888210474496786	4.439666836521237e-88	4.876234075445825e-86	0.19791775439530598	0.2396463037304832
HNRNPD	0.2172671316431728	9.033294866696011e-87	9.399381027083166e-85	0.1962880176175069	0.23804742416232655
PA2G4	0.2170980647734473	1.2365090585183289e-86	1.2222892043453682e-84	0.19611741188313256	0.2378800355653629
HNRNPAB	0.2155622835063681	2.1150541053001024e-85	1.9911723648468106e-83	0.19456770994445785	0.23635944296856
TPM3	0.21522673931558373	3.921292389525817e-85	3.434140419553192e-83	0.19422913825499669	0.23602720370489066
EIF1AX	0.21521658027739857	3.9952063555752866e-85	3.434140419553192e-83	0.19421888763336229	0.23601714465184073
