	hCiPSCs_1_corr	hCiPSCs_1_pval	hCiPSCs_1_qval	hCiPSCs_1_ci_low	hCiPSCs_1_ci_high
AP002856.5	0.2077378980496953	2.8545967956302876e-79	3.0505610080870694e-78	0.18667402933018665	0.2286108578022976
TRIML2	0.16734438404406443	1.455790936654958e-51	1.160523662002763e-50	0.1459659954892373	0.1885665508790463
PTPRZ1	0.15822669708487636	3.3919610682549548e-46	2.4929022423568942e-45	0.13678731877021855	0.17951791446084456
PIF1	0.1529601237131259	3.060135643474455e-43	2.1529851128644118e-42	0.13148719320436	0.1742895841661687
CTC-260E6.6	0.12326104423204931	1.585034458800621e-28	9.70158862244219e-28	0.10162187053927685	0.1447836336352704
ZSCAN10	0.09562223340461505	9.711308101307816e-18	4.752291117892463e-17	0.07386334448723329	0.11729012439017142
PRODH	0.07280372194374209	6.933841673028587e-11	2.6931640447107106e-10	0.050971376844243826	0.09456651551821812
PWAR6	0.06581250136590823	3.772666907919906e-09	1.361051546890083e-08	0.04396223875466486	0.08759983014462147
SLC7A3	0.06412329026160621	9.347377840698486e-09	3.285320433197566e-08	0.04226902103934591	0.08591622746475656
PDZD4	0.06388760500453582	1.058978167611897e-08	3.7054864378207443e-08	0.04203278674354938	0.08568131482201818
PHC1	0.06318728428520956	1.5303919496125782e-08	5.2802528523282146e-08	0.041330849015561416	0.08498327556948375
VSIG10	0.054762048436956146	9.484062902842979e-07	2.9481120061195866e-06	0.03288785043178958	0.07658380966708515
HELLS	0.04683156752834473	2.7769952664119298e-05	7.70002754796127e-05	0.024943501180045274	0.06867475462244589
CBS	0.04595437271949306	3.9155046973077914e-05	0.00010796307931070438	0.02406494215926348	0.06779976106133556
SCNN1A	0.043758384134292456	9.016641150219437e-05	0.00023927381951656143	0.02186568663658999	0.06560913575188004
RAB17	0.03947765441542939	0.0004121762427029906	0.0010237090852057945	0.0175791975326625	0.0613382553337941
SEMA6A	0.027525175763645982	0.01381312239091187	0.027809106890868397	0.005614897895601092	0.049409037993019635
KAL1	0.025766793041756306	0.021181698638609976	0.041095405503956746	0.00385530527211094	0.047653550357359735
UGP2	0.023749005550403702	0.0336553684361801	0.0627112755874911	0.0018362965621218363	0.04563891843902918
RP11-69I8.2	0.020691579807933114	0.06422305124179375	0.11088993214412773	-0.0012226392192974914	0.04258593478613316
RAB3B	0.02042305045658586	0.06775923886903044	0.11631103163047007	-0.0014912816053259826	0.0423177760429115
PODXL	0.019650061987373145	0.07884086060660592	0.13220388585178958	-0.0022645777988104005	0.041545836795732385
