	hCiPSCs_2	hCiPSCs_4	hCiPSCs_5	mean_corr
SCGB3A2	0.25281886413770466	0.197988273845297	0.2288748592497823	0.22656066574426129
RANBP1	0.21306548565225358	0.2372649281611189	0.22308905966453207	0.2244731578259682
TDGF1	0.23434995554989865	0.17856906215915005	0.26050019321769513	0.2244730703089146
CLDN6	0.2112927422404781	0.22606515645534392	0.22392431430410112	0.22042740433330768
NLRP2	0.23556055246964938	0.17976176160416524	0.24214850960527284	0.21915694122636245
HSPD1	0.2340587737121566	0.17092198953409107	0.2516163345504207	0.21886569926555613
PEBP1	0.21204032721206767	0.2227981122043894	0.21513851564137956	0.21665898501927885
FAM60A	0.20539374108206637	0.1810945534791578	0.26034535201111475	0.21561121552411297
SCG3	0.23220919461154813	0.13701060326992578	0.26344758570905286	0.2108891278635089
SNRPD1	0.2126919171152138	0.219323523991905	0.1999512669585319	0.2106555693552169
HSP90AB1	0.22816354737756334	0.1620096020280951	0.23926776766190846	0.20981363902252229
MYBL2	0.21960439009128144	0.18978704862672502	0.21891445980581115	0.20943529950793918
EIF1AX	0.21521658027739857	0.18195840371496755	0.23092502548687482	0.20936666982641364
HN1	0.16663073563386682	0.23110260107029487	0.22680860525445443	0.2081806473195387
PA2G4	0.2170980647734473	0.1838912571211327	0.22350850410587372	0.20816594200015126
MCM5	0.24001684872621667	0.2172351793024654	0.16635285754568255	0.20786829519145486
LINC00678	0.21251312998054808	0.21436508206739388	0.1965658172591929	0.2078146764357116
HNRNPC	0.2231420760099263	0.1653925665099713	0.2329827856527629	0.2071724760575535
COX5A	0.18191846550140278	0.24416469646511094	0.18952420327454228	0.20520245508035204
RP11-267L5.1	0.23207073729543773	0.15516996074913914	0.22813775938537698	0.20512615247665125
RBM8A	0.1838276613716566	0.2235261756679333	0.20609003176090177	0.2044812896001639
RBPMS2	0.20809510683160426	0.17304853136803847	0.23184913156785508	0.20433092325583257
SNRPF	0.204574093105434	0.21352326447603379	0.19241144194868526	0.20350293317671767
LECT1	0.2087458947699403	0.19250802010275678	0.208663493257451	0.20330580271004936
SOX2	0.20914773046570434	0.16337707420577696	0.2373084982070947	0.203277767626192
HNRNPD	0.2172671316431728	0.1450356079390704	0.2469498950391983	0.2030842115404805
SNRPG	0.1917754683604328	0.22389611174822344	0.19320576457068311	0.20295911489311314
DDX21	0.20990532760160435	0.16487864588379342	0.23401992115855208	0.20293463154798327
SFRP2	0.21251098804518181	0.16992747855632187	0.2248008890035649	0.20241311853502286
SPINT2	0.1884531952457155	0.21489220152519697	0.1985326261219361	0.2006260076309495
AK4	0.20047007565174674	0.15317114752577496	0.2462154581117658	0.19995222709642915
C1QBP	0.1941334416469343	0.20704796174386628	0.197751259814685	0.1996442210684952
RPS26	0.19761442548292552	0.20784941349409355	0.19334311738947146	0.1996023187888302
PKIB	0.19209615113994255	0.18014987886618408	0.22620163268419527	0.1994825542301073
UQCRH	0.18113102812258647	0.23962100354019536	0.17707374733691233	0.1992752596665647
SLIRP	0.19934386679843752	0.21359564499772285	0.18474099988424444	0.1992268372268016
AURKAIP1	0.17182711637743633	0.23628226719431492	0.18713054869607756	0.19841331075594293
NR6A1	0.21313041557029588	0.14052329400695557	0.24131368646283252	0.19832246534669465
SEPHS1	0.2016249858513305	0.17312058240374642	0.21772361867263035	0.19748972897590242
CYCS	0.1908357904670936	0.20484377724558528	0.1956447682449295	0.19710811198586944
NDUFS6	0.1727349928587237	0.2293668593015689	0.1864109351195556	0.1961709290932827
ATP5B	0.17539283976439035	0.2221761485749892	0.19015600240546562	0.19590833024828172
RP11-426L16.8	0.2286973155292608	0.21078438331879568	0.1482089223703351	0.19589687373946385
UBE2S	0.14121948047909594	0.2182558297117819	0.22780269493063277	0.19575933504050355
TBCA	0.20352053739789494	0.1887996444744553	0.19380746343093838	0.19537588176776288
FABP5	0.18314530582917934	0.21268233567016215	0.18813063934022092	0.19465276027985412
CYP2S1	0.2097856310409291	0.1679840430254387	0.20549299134855445	0.19442088847164074
XRCC5	0.2078550600202428	0.13687351423846136	0.23485127058253244	0.19319328161374552
TIMM13	0.1696790906539019	0.21911920085344444	0.18899339228133277	0.19259722792955972
HNRNPAB	0.2155622835063681	0.13815625734008577	0.22322360421809737	0.19231404835485041
VSNL1	0.1814345445096232	0.15963125484819446	0.23574793854267104	0.19227124596682957
EPCAM	0.18660420269686895	0.1886428748275799	0.20124602286128038	0.19216436679524307
LDHB	0.1815551786179145	0.2006559421396234	0.18843780185119244	0.19021630753624344
RP11-1144P22.1	0.18954195727338613	0.18947994390778877	0.18946658800799485	0.18949616306305658
NMRK2	0.18930791158449464	0.1976394376491504	0.1812110472202032	0.18938613215128275
CKS1B	0.1614500337030037	0.20057622664022526	0.20558886157259132	0.18920504063860677
RAN	0.1778200947554736	0.2095075401039018	0.17546334224562332	0.1875969923683329
POU5F1	0.18629552562646198	0.18220538619169085	0.19369717855790136	0.18739936345868471
FKBP4	0.1847690577239164	0.1761532462864017	0.20127465628452984	0.18739898676494934
PGAM1	0.17181824799232143	0.21471799815144416	0.17544937252741694	0.18732853955706083
HEY2	0.21277231002372518	0.14329695435390163	0.2050219539329289	0.1870304061035186
FOXH1	0.18596207388273253	0.1817398578177656	0.19287944639512056	0.18686045936520623
GAL	0.19160770071793576	0.18923223663245123	0.1768452074931056	0.1858950482811642
APOC1	0.17713698601212724	0.19956985022246462	0.17912635537052685	0.18527773053503957
HMGN1	0.18974917101214656	0.17042085685387073	0.1949246246118134	0.18503155082594355
PTGES3	0.18124740063930703	0.16455425590341513	0.20488743546432164	0.18356303066901458
HSP90AA1	0.18792926439559351	0.1623067131554712	0.1990757273081932	0.18310390161975265
SNRPB	0.1747978869446577	0.19731324329081187	0.17614135439418432	0.18275082820988464
PRELID1	0.167074303192557	0.21212044801638072	0.16641548442693435	0.1818700785452907
GMNN	0.2059352381524555	0.15722002289516404	0.18168944871754367	0.1816149032550544
SSBP1	0.17249755933128014	0.19743280465335505	0.16714058331361653	0.17902364909941726
RBM47	0.15947786504281014	0.13585445289058862	0.24137229900824383	0.17890153898054753
CLDN7	0.17624894514395176	0.19549060947919286	0.163686139740884	0.17847523145467623
PFN1	0.15637582532955208	0.20270106353486084	0.17093316860806815	0.1766700191574937
KRTCAP3	0.17845362580968388	0.17625047877360592	0.17408962463212052	0.1762645764051368
RP11-132A1.3	0.1727936833541868	0.13605559616372973	0.21925527363183114	0.1760348510499159
RPSA	0.15776902252603262	0.20693019724946235	0.16303224414970888	0.17591048797506795
PRDX1	0.1608917184168132	0.20491084625057773	0.16120055371575567	0.17566770612771554
TRIML2	0.17629848442469176	0.14018601041507278	0.2104469726649592	0.1756438225015746
NUCKS1	0.17189699410598297	0.13678706873512667	0.21550775789152982	0.17473060691087983
RP1-46F2.2	0.1433507548684234	0.2208708593878143	0.1580436702751657	0.17408842817713446
EIF4A1	0.14559968020568778	0.2130393784971924	0.15857473895563365	0.1724045992195046
EIF5A	0.161337499034969	0.18529159585336294	0.16870836732726532	0.17177915407186575
CRABP1	0.17354254698253813	0.16485861677658015	0.1757629615873178	0.17138804178214537
DDT	0.1632594116125805	0.19460270695337362	0.15591600394583122	0.1712593741705951
RAB17	0.13062750407066154	0.16804103989468422	0.2143617158154357	0.17101008659359382
RP4-792G4.2	0.1766762738284173	0.1565929004428811	0.17462647584486743	0.16929855003872196
TUBB	0.15095567627949885	0.18112370850846682	0.17563266643694325	0.16923735040830298
VRTN	0.15173934245086848	0.13921148269011435	0.21663228259451728	0.1691943692451667
TOMM7	0.15068413183965013	0.19336695025748712	0.15980395589861895	0.16795167933191876
WFDC2	0.14367693768998455	0.19091681173499528	0.16512580149682834	0.16657318364060272
NPM1	0.17582859585589874	0.15972157832848047	0.1602105081664951	0.16525356078362477
HSPE1	0.16643897851287678	0.17113401320114885	0.1540819877258661	0.1638849931466306
CDT1	0.1679866137475812	0.17306401306439378	0.14648236127490155	0.16251099602895883
TUBA1C	0.13302205283713986	0.17723865766912653	0.1764059226696698	0.1622222110586454
TSTD1	0.14352358297960582	0.18533587816891622	0.15769737055100472	0.16218561056650893
EIF2S2	0.15891227783300244	0.14965595708416846	0.17310001568224234	0.16055608353313774
SRM	0.13866680617778807	0.18552594113894333	0.15696051417522597	0.16038442049731913
YBX1	0.1546186864482993	0.15826090790467634	0.16739436566420393	0.16009132000572654
HMGA1	0.16480527552925217	0.15123239006338488	0.16331632052049422	0.1597846620377104
SNRPE	0.15543501659967537	0.17208711073253785	0.1512236757613886	0.15958193436453394
PGD	0.1584891052437048	0.15603664557829194	0.16398195224820972	0.15950256769006882
SPINT1	0.1512204959325936	0.14360800456387832	0.18134185248885223	0.15872345099510807
EIF5B	0.15760191313020755	0.13455513049736245	0.1810712008149982	0.15774274814752273
CENPW	0.15141535613915905	0.17250397817227825	0.1460224910055134	0.1566472751056502
DMKN	0.1298186194261651	0.1892178602676916	0.1502197481144441	0.15641874260276695
TKT	0.14908336231105013	0.1615325442188328	0.15796710311609713	0.15619433654866002
UPP1	0.15601588839951153	0.14868739149113538	0.1547801224154366	0.15316113410202783
AP1M2	0.14315090976245903	0.1719730508247992	0.14244721584995793	0.15252372547907203
BEX1	0.13381985522827464	0.14590804765389145	0.15894959636735087	0.1462258330831723
SLC7A5	0.13218383157916122	0.13635975300108136	0.16280161780548186	0.1437817341285748
LINC00458	0.12730318676788718	0.14437376766056462	0.15635997123404596	0.1426789752208326
