	hCiPSCs_3_corr	hCiPSCs_3_pval	hCiPSCs_3_qval	hCiPSCs_3_ci_low	hCiPSCs_3_ci_high
IRX2	0.3221226422014063	4.902122171474932e-196	9.69149553300594e-193	0.30234318409350386	0.3416248156888329
LECT1	0.28009984396550575	4.632917778919196e-146	4.579639224461624e-143	0.2597807170081004	0.30017105446417774
SOX2	0.2556874460771791	6.235874827226958e-121	4.1094415111425654e-118	0.23509100785346554	0.276054364607922
TRIM71	0.2425396194766571	1.614913443056565e-108	7.981709692307072e-106	0.22180483240470628	0.2630551638467575
PWAR6	0.22949131770824738	5.996866248778179e-97	2.371160914766892e-94	0.20862683653998362	0.25014699417913017
SALL4	0.22383623305299138	3.672541935516575e-92	1.2101025677527113e-89	0.2029178953215407	0.24455036053888574
SCG3	0.2195201211415012	1.3409046479571762e-88	3.787097841444768e-86	0.19856163531780044	0.24027793112809645
FRAT2	0.21248009381073182	5.894421963214384e-83	1.4566590276593545e-80	0.19145789878546712	0.2333074283233528
SEMA6A	0.21113055008475523	6.739406741624347e-82	1.4804230142434816e-79	0.19009639379013937	0.23197096763056585
CECR2	0.20540187547519986	1.7249009695403698e-77	3.410129216781311e-75	0.18431784532167353	0.22629695313837234
MT-ND5	0.20488179893740846	4.268495919526753e-77	7.671651302640355e-75	0.18379331315557132	0.22578176868712876
FAM60A	0.20294739899111938	1.2139530923807237e-75	1.9999877196972423e-73	0.1818424461165944	0.22386546201436133
MT-ND4	0.20165524861352763	1.1140079506930043e-74	1.6941490142462072e-72	0.18053938851505164	0.22258530756478073
CDH1	0.2000918481347195	1.5942960102508793e-73	2.2513737230471345e-71	0.17896289024284287	0.2210363247174323
ID4	0.19773113774070372	8.488115950881506e-72	1.1187336823261824e-69	0.1765826079775295	0.21869718446098688
NLGN4X	0.19746614870778337	1.3218169791517647e-71	1.6332701048643993e-69	0.17631543744827852	0.21843460162681672
RP11-1144P22.1	0.1961526426552354	1.1761814015523786e-70	1.3678297828641484e-68	0.1749911640922239	0.21713297786692304
MT-ND2	0.19371083621529608	6.557250755237107e-69	7.202047079502089e-67	0.17252954469940868	0.2147130623138899
MT-CO1	0.18844331779178	3.178326742224691e-65	3.2449171723581315e-63	0.16722018617212128	0.20949188910442437
MT-ND1	0.18842295970473852	3.282667852663765e-65	3.2449171723581315e-63	0.16719966876762785	0.20947170780530758
EIF3A	0.1882550548249429	4.284145237146357e-65	4.033216730399213e-63	0.16703045060597296	0.20930526031358052
CYP2S1	0.18552171569214918	3.151646646721175e-63	2.8321842820762555e-61	0.16427590828714422	0.20659547456519275
XRCC5	0.1846094773634972	1.3029233876024527e-62	1.119947624908717e-60	0.16335666724120496	0.20569102510356188
NUCKS1	0.18329224618923612	9.979806069170408e-62	8.220865249479123e-60	0.16202938956767837	0.20438497715372977
RPS8	0.18047844387453607	7.326878465747286e-60	5.794095490712954e-58	0.15919438411603523	0.20159481230991538
CLDN6	0.17818229319752613	2.3138334498084098e-58	1.7594033577966255e-56	0.15688119108711246	0.19931769658197837
TPI1	0.1768889261580692	1.584128454043502e-57	1.1599340569051863e-55	0.15557832738585903	0.1980349509737678
EIF1AX	0.17561652392717902	1.0358680472763153e-56	7.313968319518841e-55	0.1542966547741773	0.19677292732442742
MT-CYB	0.17484147396465907	3.228095238823855e-56	2.2006704438464693e-54	0.15351599316825176	0.19600416483968236
CTSV	0.1747882062322684	3.4896922350965624e-56	2.2997071829286345e-54	0.15346234073575268	0.19595132827847894
GNAS	0.17409587803848536	9.585433227552851e-56	6.113032738990964e-54	0.1527650239777658	0.1952645928995653
SLC7A8	0.17393876499778874	1.2048567197154097e-55	7.443755421491766e-54	0.15260678181745527	0.1951087461706919
LIN28B	0.1725458297891723	9.063734884091595e-55	5.43000117146942e-53	0.15120388387789066	0.1937269910928567
SOX11	0.1719322628178893	2.1924805463877902e-54	1.2748629530025474e-52	0.15058595574788408	0.19311832213928753
YWHAE	0.17179068695716895	2.6868714225029685e-54	1.517698514939534e-52	0.15044337595168045	0.19297787414312106
MORF4L1	0.17170148323172718	3.053863660746259e-54	1.6770801270264874e-52	0.15035354012539368	0.19288938061359548
CALM1	0.1716772020261757	3.162127095818044e-54	1.6896014239006142e-52	0.1503290869233777	0.1928652926633072
LRRN1	0.17140972722681716	4.639718609642634e-54	2.4138746555956547e-52	0.1500597191889664	0.19259994501839928
COX7A2	0.16993215521009622	3.81344636950104e-53	1.9331239673086044e-51	0.1485717474227264	0.19113406788512566
SPINT2	0.16930476530948502	9.272473716693176e-53	4.582920134475602e-51	0.14793997095032277	0.19051161512881368
SNRPD2	0.16888521485088906	1.6764445140189984e-52	8.08373366881844e-51	0.14751749681622325	0.19009535674083472
PRDX2	0.16840145142816487	3.312070205584156e-52	1.5590387610571133e-50	0.14703037192262391	0.1896153797801648
HMGN1	0.16757004284332047	1.062177381608373e-51	4.883545775441287e-50	0.14619321044204128	0.1887904550220663
NAP1L1	0.16532953052974403	2.3808824373550338e-50	1.069773767875205e-48	0.14393734742093728	0.18656726646971117
SUMO2	0.1649305977833953	4.122630615712333e-50	1.8112090505029517e-48	0.14353570473242538	0.1861713954793544
PDPN	0.16317716485806635	4.527976601430531e-49	1.946045595875687e-47	0.14177044433572905	0.18443133814384047
TSTD1	0.1626406780876103	9.374870408228356e-49	3.943429531290949e-47	0.14123036598846847	0.18389891719696158
HSP90AB1	0.16216677014878736	1.7792575459990226e-48	7.328317017583474e-47	0.14075329601547015	0.18342859044459445
HNRNPD	0.1620726619167647	2.0202049832593156e-48	8.150908677354422e-47	0.14065856105282679	0.18333519220307792
SMPDL3B	0.16158842862350717	3.8785168396765096e-48	1.5335655584080918e-46	0.14017110912104758	0.18285460609215293
CALM2	0.15805440378654115	4.25407216215983e-46	1.6490785616843106e-44	0.13661390840507354	0.17934689129381443
GABRB3	0.15783993754568534	5.637348725506271e-46	2.1432766212165187e-44	0.1363980535041539	0.17913400428150045
USP44	0.15769049998647522	6.8575245777667014e-46	2.557986054763164e-44	0.13624764954647126	0.17898566593136497
LINC00678	0.15707280147402142	1.538124652949914e-45	5.631245257188852e-44	0.13562596692376036	0.1783725007153241
HNRNPU	0.15677218457638284	2.2761518706658402e-45	8.18173136055703e-44	0.13532341717862328	0.1780740840639647
FOXH1	0.15644209873762047	3.497029140772814e-45	1.2345761805906881e-43	0.13499121362599775	0.17774640964446448
ID1	0.15628404183396447	4.2939212564190516e-45	1.489312688410608e-43	0.13483214439264224	0.17758950574193078
PRODH	0.15543814870780095	1.2834445452908286e-44	4.374775631103393e-43	0.13398085224660664	0.17674976486636368
ZFAND5	0.15540557685413395	1.3385452077666777e-44	4.485260806363935e-43	0.1339480731321428	0.17671742929013173
HNRNPC	0.15536167648908428	1.4165503414142123e-44	4.667533374959829e-43	0.1339038934951483	0.1766738473071729
EIF3K	0.1548374133577035	2.7824589907992324e-44	9.017903975098497e-43	0.1333763018578228	0.17615337987266935
PEBP1	0.154748449273955	3.119453915819819e-44	9.947032889638359e-43	0.13328677415519727	0.17606505871144684
HNRNPA3	0.1541741116577006	6.5145603171336e-44	2.0443310709481153e-42	0.1327088063369674	0.1754948634381978
COX4I1	0.15338158801851906	1.7911198229688364e-43	5.532881078139671e-42	0.13191129738167487	0.17470803229498535
