	hCiPSCs_2	hCiPSCs_3	hCiPSCs_4	hCiPSCs_5	hCiPSCs_6	mean_corr
IRX2		0.3221226422014063				0.3221226422014063
HMMR				0.25852643988612306		0.25852643988612306
SCGB3A2	0.25281886413770466		0.197988273845297	0.2288748592497823		0.22656066574426129
NLGN4X	0.21888210474496786	0.19746614870778337		0.2600113323554952		0.22545319526941546
LECT1	0.2087458947699403	0.28009984396550575	0.19250802010275678	0.208663493257451		0.22250431302391346
MKI67				0.22210370109008223		0.22210370109008223
TACC3				0.22198404263542512		0.22198404263542512
TRIM71	0.18047768826676885	0.2425396194766571		0.23186848580972674		0.21829526451771755
CECR2	0.21137160310730485	0.20540187547519986		0.23398148928689616		0.21691832262313362
SOX2	0.20914773046570434	0.2556874460771791	0.16337707420577696	0.2373084982070947		0.21638018723893876
LIN28B	0.20640909776181654	0.1725458297891723		0.2669221021433892		0.21529234323145932
SCG3	0.23220919461154813	0.2195201211415012	0.13701060326992578	0.26344758570905286		0.213046876183007
FAM60A	0.20539374108206637	0.20294739899111938	0.1810945534791578	0.26034535201111475		0.2124452613908646
MSH2	0.20136972958246946			0.22071060174196744		0.21104016566221845
CLDN6	0.2112927422404781	0.17818229319752613	0.22606515645534392	0.22392431430410112		0.2098661265493623
L1TD1	0.22472815151386857	0.1376199500217369		0.26669689185083617		0.20968166446214723
MYBL2	0.21960439009128144		0.18978704862672502	0.21891445980581115		0.20943529950793918
MCM4	0.2393184444618769			0.17940960954447796		0.2093640270031774
SEMA6A	0.18235410342223998	0.21113055008475523		0.2343991239908925		0.2092945924992959
SALL4	0.18681133181492357	0.22383623305299138		0.2168225132129274		0.20915669269361414
HN1	0.16663073563386682		0.23110260107029487	0.22680860525445443		0.2081806473195387
USP44	0.201811852849694	0.15769049998647522		0.2634732267454242		0.20765852652719782
FRAT2	0.21178370517892411	0.21248009381073182		0.19424427095727512		0.20616935664897704
PWAR6	0.1817209159977543	0.22949131770824738		0.20681266578713398		0.2060082998310452
RP11-267L5.1	0.23207073729543773		0.15516996074913914	0.22813775938537698		0.20512615247665125
RANBP1	0.21306548565225358	0.14140024821628325	0.2372649281611189	0.22308905966453207		0.20370493042354695
POLR3G	0.20229861274496677			0.20131072493092703		0.2018046688379469
PEBP1	0.21204032721206767	0.154748449273955	0.2227981122043894	0.21513851564137956		0.2011813510829479
EIF1AX	0.21521658027739857	0.17561652392717902	0.18195840371496755	0.23092502548687482		0.200929133351605
IQGAP2	0.19941628923263732			0.2021370733971596		0.20077668131489845
CDH1		0.2000918481347195				0.2000918481347195
AK4	0.20047007565174674		0.15317114752577496	0.2462154581117658		0.19995222709642915
C1QBP	0.1941334416469343		0.20704796174386628	0.197751259814685		0.1996442210684952
