	hCiPSCs_1	hCiPSCs_2	hCiPSCs_3	hCiPSCs_4	hCiPSCs_5	hCiPSCs_6	mean_corr
IRX2			0.33421003995755955				0.33421003995755955
MKI67					0.2998258964987275		0.2998258964987275
GTSE1					0.25175847896969505		0.25175847896969505
HMMR		0.14940720313475464			0.3486794136242394		0.249043308379497
AURKA					0.24548908418612886		0.24548908418612886
SCG3		0.2339916524716463	0.22336879417736782		0.26578226161851987		0.2410475694225113
TOP2A					0.24017475751168121		0.24017475751168121
XRCC5		0.2361594907031484	0.21026923509566137		0.26777008894883564		0.23806627158254848
MSH2		0.2267765235539344			0.2491906572624791		0.23798359040820677
RANBP1		0.24776119999274837	0.16340440606915851	0.2708313307898954	0.26028748168826316		0.23557110463501635
ADD2					0.23496541637026672		0.23496541637026672
HNRNPU		0.23602970969847564	0.1840954317895934		0.28269285021515184		0.23427266390107362
FAM60A		0.22479672716150448	0.22705335845507238	0.19716831204003277	0.2877852747146496		0.2342009180928148
HN1		0.18445652143111238		0.25909677358421546	0.25640349844016597		0.23331893115183125
PA2G4		0.2625403879058888	0.17300809119371963	0.21442815015783417	0.2707453440949379		0.23018049333809512
MCM4		0.3201971645585984	0.13027252506043882		0.2398812017579489		0.2301169637923287
SCGB3A2		0.2560106349099661		0.20264851092776942	0.23138997034805495		0.23001637206193015
C1QBP		0.22401593195589883		0.23719380015703162	0.2285027228982546		0.22990415167039502
MYBL2		0.24043069904627962		0.20598883712789656	0.2396791194748017		0.22869955188299262
NLGN4X		0.22109023767482028	0.20176679336439615		0.2631603906985412		0.2286724739125859
EIF1AX		0.24573097959165033	0.19974147635540535	0.20305486525239524	0.2641362188685929		0.22816588501701096
LECT1		0.21166306061730814	0.28831337032198684	0.19801939195645146	0.21150032980235187		0.2273740381745246
MCM5		0.29573653771388475	0.13480875695681785	0.2643219001515559	0.20507934286601429		0.22498663442206818
TRIM71		0.18348670728637687	0.25122424511623975		0.23695024185620603		0.22388706475294087
NLRP2		0.2395172520825112		0.18497906114361476	0.24624086640505702		0.22357905987706098
HSPD1		0.26490211739716196	0.15748761221032295	0.1860406045408309	0.28557176772693643		0.22350052546881305
DLGAP5			0.1351304080250291		0.31129210820768366		0.2232112581163564
IQGAP2		0.22133197323822773			0.2243486596471544		0.22284031644269106
SPRY4					0.22261463866030404		0.22261463866030404
RP11-426L16.8		0.23020858117128398		0.21414879723941657			0.22217868920535028
CCNA2		0.1875416545542273			0.2561640209785076		0.22185283776636744
UBE2S		0.15656055949526457		0.24675021370116945	0.26173001488463205		0.22168026269368868
HNRNPD		0.25005913537885727	0.18865500510262712	0.1618171208364448	0.2858102068600717		0.22158536704450021
L1TD1		0.23609657973319564	0.1471495199822498		0.2810636534884068		0.22143658440128408
CECR2		0.21490498479785444	0.2111062741689845		0.238142623006148		0.22138462732432898
UBE2C				0.18988091110339947	0.25265958670688693		0.22127024890514319
NCL		0.23934337775072484	0.13946663893857164		0.28494902703970443		0.22125301457633362
SOX2		0.21215525808529376	0.2631859956083014	0.1681430769604075	0.241125550291859		0.22115247023646542
SALL4		0.1962766320280544	0.23841570354014463		0.2283089535058485		0.22100042969134917
CLDN6		0.2200180807066042	0.1893263443455913	0.24050423942632188	0.23337002432615533		0.22080467220116817
HNRNPA3		0.2206327316010532	0.1770877236089016		0.2615341476611647		0.21975153429037317
GINS2		0.2273393133097376		0.2101105167273251			0.21872491501853136
LIN28B		0.20805655934652204	0.17603478089944602		0.2699175688925383		0.21800296971283548
SERBP1		0.22474380541759356	0.16892437057635784		0.2596684896324371		0.21777888854212954
PEBP1		0.22949889392270706	0.1669911993901339	0.23973792100130034	0.23297458673907528		0.21730065026330414
NUCKS1		0.19466855365115604	0.21053976581478373		0.24649132751471856		0.21723321566021944
CDC6		0.21637511646612226					0.21637511646612226
YWHAE		0.21443203769113897	0.1899760581037995		0.24189677536758458		0.21543495705417434
FABP5		0.20160479644933765		0.23578193076911552	0.20783202045257665		0.21507291589034327
DDX21		0.24789388231488618	0.14510510320137093	0.18991468002892187	0.27701552920953		0.21498229868867724
HSP90AB1		0.24953398840562052	0.17584686546022585	0.17240631404471174	0.2619916850947564		0.21494471325132863
TPM3		0.25993538064337657	0.1708867198442565	0.15545967214676032	0.2725929342139549		0.21471867671208708
USP44		0.20733870962317186	0.16430780568038056		0.2717399513170368		0.21446215554019643
TBCA		0.2235088225445862		0.20710805106588584	0.21276716696886963		0.21446134685978058
AK4		0.21332365265986897		0.16483674454993755	0.2632867119447905		0.21381570305153233
HEY2		0.21769414602377946			0.20965893899942856		0.213676542511604
CKS1B		0.18093317687082244		0.22389970766964196	0.23549317581700488		0.21344202011915644
SPINT2		0.20499316433671508	0.18999977192211967	0.2413480272199151	0.21620723581672446		0.21313704982386855
HNRNPC		0.2457715186593882	0.1709470180435059	0.17837851082705636	0.2569162778623384		0.2130033313480722
GLDC		0.21296539781982748			0.21083572471102613		0.2119005612654268
SLIRP		0.21179148196059353		0.22621790527569324	0.19579663454755955		0.2112686739279488
POLR3G		0.21095192308836694			0.20988344100130163		0.2104176820448343
FRAT2		0.21532958053239903	0.2184381020526233		0.1971945000710559		0.21032072755202605
CNTNAP2		0.21691836649069207			0.2035140740309387		0.21021622026081538
FKBP4		0.207756614695022		0.19563884649714913	0.2271244900639682		0.21017331708537978
SNRPD1		0.24007700889301525	0.12820407527102684	0.24199933497728854	0.22538851824667805		0.20891723434700218
SPC25					0.20860360579425258		0.20860360579425258
NASP		0.23564161240402623	0.1548187974596539		0.23390478363560493		0.20812173116642838
MTHFD2		0.21158757604521652		0.1582357537795854	0.2535872877483927		0.20780353919106487
CDH1			0.20759719355856085				0.20759719355856085
AP002856.5	0.20728253448655917						0.20728253448655917
RBM47		0.16400831981435496			0.2501215542171427		0.20706493701574885
SET		0.22681440897877125	0.15569253305133715		0.2383403330265294		0.20694909168554596
SEPHS1		0.21117978755429045		0.18048117309849893	0.2286948042283813		0.2067852549603902
RAN		0.19720373221600807		0.22815456868557266	0.19457877278712524		0.20664569122956866
TACC3		0.14450399272623288			0.26869252987612086		0.20659826130117687
RP11-267L5.1		0.2331554860454245		0.15725966373929476	0.2291098587006486		0.2065083361617893
SFRP2		0.21558186471334234		0.17476749522552004	0.22816026988437746		0.20616987660774663
CDT1		0.21424623557729602		0.2158684830649327	0.18658288644056603		0.2055658683609316
AURKAIP1		0.19236974280741873	0.15609672278160092	0.26348392609730825	0.20997577159118302		0.2054815408193777
HNRNPAB		0.2533922670194958	0.14694043825482456	0.15558755339526645	0.2627707338241503		0.20467274812343428
RBM8A		0.1986345650287551	0.1522919624908071	0.24152351949079046	0.22349777676260793		0.20398695594324015
COX5A		0.19626574674588795	0.14770025588587607	0.2669192682967101	0.2049539169781514		0.2039597969766564
RPS26		0.21977403822682454	0.15099043742953253	0.2287319726994053	0.21504252853087275		0.20363474422165878
HMGN1		0.21431772499830176	0.18968505138600283	0.1881838287579526	0.2204237315169635		0.20315258416480517
DMKN				0.20309377258406178			0.20309377258406178
